 TIME       | THREAD   | ID   | STATUS
 1396288919 | Main     | 0    | Spawning oxygen 6
 1396288919 | Oxygen   | 5    | Invoking bond
 1396288919 | Oxygen   | 5    | Destroyed
 1396288919 | Hydrogen | 10   | Bond invoked
 1396288919 | Hydrogen | 10   | Destroyed
 1396288919 | Hydrogen | 11   | Bond invoked
 1396288919 | Hydrogen | 11   | Crossed the barrier
 1396288919 | Hydrogen | 11   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 7
 1396288919 | Oxygen   | 6    | Invoking bond
 1396288919 | Hydrogen | 13   | Bond invoked
 1396288919 | Hydrogen | 13   | Destroyed
 1396288919 | Oxygen   | 6    | Destroyed
 1396288919 | Hydrogen | 12   | Bond invoked
 1396288919 | Hydrogen | 12   | Crossed the barrier
 1396288919 | Hydrogen | 12   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 8
 1396288919 | Oxygen   | 7    | Invoking bond
 1396288919 | Hydrogen | 14   | Bond invoked
 1396288919 | Hydrogen | 14   | Destroyed
 1396288919 | Hydrogen | 15   | Bond invoked
 1396288919 | Hydrogen | 15   | Crossed the barrier
 1396288919 | Hydrogen | 15   | has become H2O
 1396288919 | Main     | 0    | Spawning oxygen 9
 1396288919 | Oxygen   | 8    | Invoking bond
 1396288919 | Oxygen   | 8    | Destroyed
 1396288919 | Hydrogen | 17   | Bond invoked
 1396288919 | Hydrogen | 17   | Destroyed
 1396288919 | Hydrogen | 16   | Bond invoked
 1396288919 | Hydrogen | 16   | Crossed the barrier
 1396288919 | Hydrogen | 16   | has become H2O
 1396288919 | Oxygen   | 7    | Destroyed
 1396288919 | Main     | 0    | Spawning oxygen 10
 1396288919 | Oxygen   | 9    | Invoking bond
 1396288919 | Hydrogen | 18   | Bond invoked
 1396288919 | Hydrogen | 18   | Destroyed
 1396288919 | Hydrogen | 19   | Bond invoked
 1396288919 | Hydrogen | 19   | Crossed the barrier
 1396288919 | Hydrogen | 19   | has become H2O
 1396288919 | Oxygen   | 9    | Destroyed
 1396288919 | Main     | 0    | Spawning oxygen 11
 1396288919 | Oxygen   | 10   | Invoking bond
 1396288919 | Hydrogen | 20   | Bond invoked
